Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,height,weight,birth_date,college,Salary
24608,2017.0,Jeff Teague,PG,28.0,IND,82.0,82.0,2657.0,19.2,0.574,0.277,0.457,1.4,12.4,7.0,36.4,1.9,1.1,16.5,22.1,,5.7,2.4,8.1,0.146,,2.4,-0.6,1.9,2.6,402.0,909.0,0.442,90.0,252.0,0.357,312.0,657.0,0.475,0.492,360.0,415.0,0.867,33.0,298.0,331.0,639.0,100.0,32.0,216.0,165.0,1254.0,6-2,186.0,"June 10, 1988",Wake Forest University,19000000.0
24609,2017.0,Mirza Teletovic,PF,31.0,MIL,70.0,2.0,1133.0,8.8,0.515,0.73,0.108,1.1,15.4,8.3,6.4,0.5,1.0,7.8,19.1,,-0.1,0.7,0.6,0.025,,-1.5,-3.4,-4.9,-0.8,156.0,418.0,0.373,104.0,305.0,0.341,52.0,113.0,0.46,0.498,35.0,45.0,0.778,11.0,151.0,162.0,48.0,12.0,13.0,37.0,109.0,451.0,6-9,242.0,"September 18, 1985",,10500000.0
24610,2017.0,Garrett Temple,SG,30.0,SAC,65.0,21.0,1728.0,11.2,0.545,0.509,0.171,2.2,10.0,6.1,14.5,2.5,1.5,14.4,14.2,,0.9,1.3,2.2,0.062,,-0.3,0.6,0.3,1.0,183.0,432.0,0.424,82.0,220.0,0.373,101.0,212.0,0.476,0.519,58.0,74.0,0.784,32.0,151.0,183.0,169.0,84.0,28.0,78.0,141.0,506.0,6-6,195.0,"May 8, 1986",Louisiana State University,8000000.0
24611,2017.0,Jason Terry,SG,39.0,MIL,74.0,0.0,1365.0,9.0,0.6,0.704,0.119,1.3,7.7,4.5,9.9,1.7,1.3,12.3,9.8,,1.2,0.9,2.1,0.075,,-0.5,-0.6,-1.1,0.3,105.0,243.0,0.432,73.0,171.0,0.427,32.0,72.0,0.444,0.582,24.0,29.0,0.828,15.0,91.0,106.0,98.0,45.0,20.0,36.0,95.0,307.0,6-2,185.0,"September 15, 1977",University of Arizona,2328652.0
24612,2017.0,Isaiah Thomas,PG,27.0,BOS,76.0,76.0,2569.0,26.5,0.625,0.439,0.441,1.9,7.0,4.4,32.6,1.4,0.4,10.7,34.0,,10.9,1.6,12.6,0.235,,8.8,-3.3,5.5,4.8,682.0,1473.0,0.463,245.0,646.0,0.379,437.0,827.0,0.528,0.546,590.0,649.0,0.909,43.0,162.0,205.0,449.0,70.0,13.0,210.0,167.0,2199.0,5-9,185.0,"February 7, 1989",University of Washington,6261395.0
24613,2017.0,Lance Thomas,PF,28.0,NYK,46.0,15.0,968.0,8.4,0.516,0.348,0.209,3.6,12.3,7.9,5.0,1.1,0.4,8.6,13.1,,0.6,0.4,0.9,0.046,,-2.1,-1.6,-3.7,-0.4,97.0,244.0,0.398,38.0,85.0,0.447,59.0,159.0,0.371,0.475,43.0,51.0,0.843,32.0,110.0,142.0,35.0,21.0,5.0,25.0,85.0,275.0,6-8,235.0,"April 24, 1988",Duke University,6655325.0
24617,2017.0,Klay Thompson,SG,26.0,GSW,78.0,78.0,2649.0,17.4,0.592,0.47,0.158,2.2,9.2,5.9,9.3,1.2,1.2,8.0,26.1,,4.2,2.9,7.1,0.128,,2.4,-2.1,0.3,1.5,644.0,1376.0,0.468,268.0,647.0,0.414,376.0,729.0,0.516,0.565,186.0,218.0,0.853,49.0,236.0,285.0,160.0,66.0,40.0,128.0,139.0,1742.0,6-7,215.0,"February 8, 1990",Washington State University,17826150.0
24618,2017.0,Tristan Thompson,C,25.0,CLE,78.0,78.0,2336.0,15.3,0.594,0.007,0.487,14.0,19.6,16.9,4.6,0.8,2.9,10.8,11.3,,5.0,2.3,7.3,0.15,,0.0,1.5,1.5,2.1,262.0,437.0,0.6,0.0,3.0,0.0,262.0,434.0,0.604,0.6,106.0,213.0,0.498,287.0,429.0,716.0,77.0,39.0,84.0,64.0,176.0,630.0,6-9,238.0,"March 13, 1991",University of Texas at Austin,16400000.0
24619,2017.0,Marcus Thornton,SG,29.0,WAS,33.0,1.0,575.0,10.4,0.494,0.381,0.129,4.3,10.5,7.5,10.1,1.6,0.4,10.1,18.7,,0.1,0.4,0.5,0.042,,-1.6,-1.5,-3.2,-0.2,84.0,210.0,0.4,28.0,80.0,0.35,56.0,130.0,0.431,0.467,23.0,27.0,0.852,22.0,54.0,76.0,41.0,19.0,3.0,25.0,48.0,219.0,6-4,205.0,"June 5, 1987",Louisiana State University,46080.0
24621,2017.0,Anthony Tolliver,PF,31.0,SAC,65.0,9.0,1477.0,11.1,0.595,0.655,0.234,4.0,14.5,9.3,7.7,1.1,1.2,12.6,13.6,,1.5,0.8,2.3,0.075,,0.2,-0.8,-0.6,0.5,155.0,351.0,0.442,90.0,230.0,0.391,65.0,121.0,0.537,0.57,61.0,82.0,0.744,51.0,188.0,239.0,77.0,33.0,20.0,56.0,109.0,461.0,6-8,240.0,"June 1, 1985",Creighton University,3290000.0
24622,2017.0,Axel Toupane,SF,24.0,TOT,4.0,0.0,47.0,6.2,0.611,0.444,0.0,0.0,2.3,1.1,0.0,1.0,1.7,0.0,8.5,,0.0,0.0,0.1,0.061,,-2.8,-1.0,-3.8,0.0,5.0,9.0,0.556,1.0,4.0,0.25,4.0,5.0,0.8,0.611,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,11.0,6-7,197.0,"July 23, 1992",,25000.0
24623,2017.0,Axel Toupane,SF,24.0,MIL,2.0,0.0,6.0,-9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,,0.0,0.0,0.0,-0.191,,-9.2,-3.5,-12.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6-7,197.0,"July 23, 1992",,25000.0
