,Age,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,WS/48,3P%,2P%,FT%,height,weight,college,Salary,BMI,SG,PF,C,SF,PG,Age^2,height^2,weight^2,BMI^2
0,5.75,3.279220779220779,6.829268292682928,0.7224334600760456,1.955922865013774,1.7786561264822134,0.9598603839441535,1.5315315315315314,0.6593406593406593,1.9036697247706422,2.461139896373057,3.81,4.26,8.98,8.96551724137931,6.551724137931034,0.0,1.6506860078050778,7.265980995020121,10.0,0.0,0.0,0.0,0.0,33.0625,80.38049940546966,42.925089179548145,52.79447981999359
1,6.5,3.8311688311688314,6.890243902439024,1.4828897338403042,4.958677685950414,4.3478260869565215,0.855148342059337,1.0810810810810811,2.197802197802198,2.2247706422018347,2.1243523316062176,4.109999999999999,4.13,7.5,9.080459770114942,8.275862068965518,10.0,0.49291012339058116,8.947195380032367,0.0,10.0,0.0,0.0,0.0,42.25,82.4547496366759,68.48989298454222,80.05230516847253
2,6.5,-0.4545454545454545,4.329268292682927,1.7490494296577943,4.18732782369146,3.8339920948616597,0.0,0.0,0.0,2.2477064220183487,-3.4455958549222796,1.43,4.0,6.67,9.080459770114942,8.275862068965518,10.0,0.49291012339058116,8.947195380032367,0.0,10.0,0.0,0.0,0.0,42.25,82.4547496366759,68.48989298454222,80.05230516847253
3,6.5,4.253246753246753,7.158536585365853,1.4448669201520912,5.013774104683196,4.387351778656126,0.9424083769633509,1.1711711711711712,2.417582417582418,2.201834862385321,2.6424870466321244,4.34,4.14,7.54,9.080459770114942,8.275862068965518,10.0,0.49291012339058116,8.947195380032367,0.0,10.0,0.0,0.0,0.0,42.25,82.4547496366759,68.48989298454222,80.05230516847253
4,5.75,5.357142857142857,7.182926829268292,4.942965779467681,4.269972451790634,5.612648221343873,0.9424083769633509,1.6216216216216217,2.8571428571428577,3.6697247706422016,3.3678756476683933,0.0,5.72,6.109999999999999,9.655172413793103,8.793103448275861,10.0,6.479313083957207,8.408363345338135,0.0,0.0,10.0,0.0,0.0,33.0625,93.22235434007133,77.31866825208084,70.70057414722591
5,7.75,2.922077922077922,6.817073170731708,0.2661596958174905,2.31404958677686,1.818181818181818,1.2914485165794067,0.6306306306306306,0.4395604395604396,1.926605504587156,1.1139896373056994,4.109999999999999,4.57,8.92,8.85057471264368,7.241379310344827,10.0,0.6714189123925431,8.240768354011513,10.0,0.0,0.0,0.0,0.0,60.0625,78.33267274408774,52.43757431629013,67.91026306447762
6,7.0,4.188311688311688,6.451219512195122,3.155893536121673,6.556473829201103,6.324110671936759,0.5410122164048866,1.5315315315315314,3.406593406593407,3.1422018348623846,2.0725388601036268,0.0,5.11,7.25,9.885057471264368,8.551724137931036,0.0,1.430632407363357,7.801617258744557,0.0,0.0,10.0,0.0,0.0,49.0,97.7143612101995,73.13198573127231,60.86523185194093
7,7.0,4.123376623376623,6.695121951219512,4.182509505703422,6.584022038567493,6.877470355731225,1.116928446771379,2.1621621621621623,4.065934065934067,3.4633027522935778,3.005181347150259,,5.23,6.82,9.540229885057471,8.620689655172413,10.0,2.1048048658475227,8.443328489678898,0.0,0.0,10.0,0.0,0.0,49.0,91.01598625974368,74.31629013079666,71.28979598462334
8,7.75,6.038961038961039,6.487804878048781,3.2699619771863113,4.573002754820937,5.019762845849803,1.7277486910994766,0.900900900900901,3.406593406593407,1.7660550458715596,3.860103626943005,4.109999999999999,4.8,8.120000000000001,9.540229885057471,8.96551724137931,10.0,6.1878408594523755,8.781061629266052,0.0,10.0,0.0,0.0,0.0,60.0625,91.01598625974368,80.38049940546966,77.10704333696857
9,8.75,4.318181818181818,6.012195121951219,3.6501901140684407,3.801652892561984,4.624505928853754,1.4659685863874348,2.792792792792793,1.5384615384615385,3.0504587155963305,1.994818652849741,2.7800000000000002,4.79,6.15,8.735632183908047,7.344827586206897,10.0,0.610380436271266,8.579901082153572,10.0,0.0,0.0,0.0,0.0,76.5625,76.31126965253007,53.94649227110583,73.61470257954004
10,6.5,3.6688311688311694,6.170731707317073,1.8250950570342204,6.473829201101929,5.573122529644269,1.3787085514834208,1.5315315315315314,2.197802197802198,3.4862385321100913,1.3212435233160622,3.3000000000000003,4.45,7.06,9.310344827586206,7.586206896551724,10.0,2.1102932166175785,7.80157890101359,0.0,0.0,0.0,10.0,0.0,42.25,86.68252080856122,57.55053507728894,60.86463334874042
11,5.75,4.512987012987013,6.548780487804878,2.3574144486692012,4.65564738292011,4.466403162055336,1.5357766143106462,1.5315315315315314,1.7582417582417584,2.68348623853211,1.9170984455958548,2.9899999999999998,5.220000000000001,7.91,8.96551724137931,7.862068965517242,10.0,0.4553990407279741,8.719177194024144,0.0,0.0,0.0,10.0,0.0,33.0625,80.38049940546966,61.81212841854936,76.02405094079076
12,5.75,4.7727272727272725,6.353658536585366,2.319391634980988,5.206611570247935,4.822134387351778,1.3263525305410124,1.891891891891892,2.197802197802198,2.568807339449541,1.7357512953367875,3.03,4.77,7.95,8.96551724137931,7.862068965517242,10.0,0.4553990407279741,8.719177194024144,0.0,0.0,0.0,10.0,0.0,33.0625,80.38049940546966,61.81212841854936,76.02405094079076
13,5.75,4.155844155844156,6.878048780487804,2.4334600760456273,3.8842975206611574,4.031620553359684,1.8150087260034906,1.0810810810810811,1.208791208791209,2.8899082568807337,2.176165803108808,2.92,6.0,7.800000000000001,8.96551724137931,7.862068965517242,10.0,0.4553990407279741,8.719177194024144,0.0,0.0,0.0,10.0,0.0,33.0625,80.38049940546966,61.81212841854936,76.02405094079076
14,5.75,4.058441558441558,6.402439024390244,1.4068441064638784,5.234159779614326,4.545454545454545,2.1640488656195465,2.2522522522522523,2.307692307692308,3.2798165137614683,3.290155440414508,3.75,4.62,7.890000000000001,9.310344827586206,7.931034482758621,10.0,0.620399595762134,8.156196123786936,10.0,0.0,0.0,0.0,0.0,33.0625,86.68252080856122,62.901307966706305,66.52353520967704
15,7.0,4.383116883116883,7.109756097560975,2.2053231939163496,3.0853994490358128,3.3596837944664033,0.8202443280977313,0.6306306306306306,0.5494505494505495,1.4220183486238533,3.0569948186528495,4.03,4.46,8.6,9.425287356321839,8.275862068965518,10.0,5.645044842435173,8.304498269896193,0.0,10.0,0.0,0.0,0.0,49.0,88.83604174924031,68.48989298454222,68.96469151470886
16,5.5,8.474025974025974,7.304878048780488,2.2433460076045626,6.225895316804408,5.6521739130434785,4.642233856893544,2.0720720720720722,5.164835164835165,3.0504587155963305,5.4404145077720205,2.72,5.629999999999999,7.7,9.540229885057471,7.655172413793103,0.0,6.479313083957207,7.497675698834861,0.0,0.0,0.0,10.0,0.0,30.25,91.01598625974368,58.60166468489893,56.21514088489882
17,8.0,5.811688311688311,6.524390243902439,0.9885931558935361,4.380165289256198,3.6758893280632416,2.530541012216405,1.0810810810810811,1.208791208791209,2.0642201834862384,2.3056994818652847,3.59,4.66,8.33,9.195402298850574,8.275862068965518,10.0,7.566848458374601,8.724913494809687,0.0,0.0,0.0,10.0,0.0,64.0,84.55542343770642,68.48989298454222,76.12411549191219
18,7.75,3.9935064935064934,6.682926829268293,0.7984790874524715,4.380165289256198,3.5573122529644268,1.5357766143106462,2.2522522522522523,0.6593406593406593,1.8348623853211008,2.694300518134715,3.4399999999999995,5.5600000000000005,7.38,9.195402298850574,7.413793103448276,10.0,2.139667354332366,7.816068339100345,0.0,0.0,0.0,10.0,0.0,60.0625,84.55542343770642,54.96432818073722,61.09092428148682
19,7.0,4.155844155844156,7.109756097560975,1.673003802281369,4.104683195592287,3.8339920948616597,1.62303664921466,1.3513513513513513,2.7472527472527473,3.165137614678899,2.098445595854922,4.53,4.29,8.64,9.310344827586206,8.103448275862068,10.0,2.1523538494141867,8.333504735173609,0.0,10.0,0.0,0.0,0.0,49.0,86.68252080856122,65.66587395957191,69.44730117116096
20,7.5,3.1818181818181817,6.304878048780488,3.9543726235741445,6.969696969696971,7.0355731225296445,0.7329842931937174,0.4504504504504505,1.8681318681318682,3.3486238532110093,2.590673575129534,,4.77,5.8999999999999995,9.655172413793103,8.793103448275861,0.0,3.0549959561796927,8.408363345338135,0.0,0.0,10.0,0.0,0.0,56.25,93.22235434007133,77.31866825208084,70.70057414722591
21,7.25,3.5714285714285716,6.390243902439025,0.38022813688212925,2.038567493112948,1.6205533596837942,3.5602094240837694,0.900900900900901,0.1098901098901099,3.0504587155963305,0.9844559585492227,3.4699999999999998,4.12,8.139999999999999,8.275862068965518,6.310344827586207,10.0,2.0903883941636354,8.21326733307702,0.0,0.0,0.0,0.0,10.0,52.5625,68.48989298454222,39.820451843044,67.45776028459011
22,6.75,2.727272727272727,6.865853658536585,0.49429657794676807,3.7190082644628104,2.9249011857707514,0.837696335078534,0.900900900900901,0.8791208791208792,1.8348623853211008,2.1243523316062176,4.14,3.66,7.33,9.310344827586206,7.758620689655173,10.0,0.5692081464598191,7.978887512400263,0.0,0.0,0.0,10.0,0.0,45.5625,86.68252080856122,60.196195005945306,63.66264593553686
23,5.75,2.435064935064935,5.560975609756098,0.5703422053231939,2.9752066115702487,2.450592885375494,3.019197207678883,1.801801801801802,0.8791208791208792,4.403669724770642,-0.2072538860103627,2.67,4.5,6.51,8.735632183908047,7.586206896551724,10.0,1.2478897889572709,8.861869662318242,10.0,0.0,0.0,0.0,0.0,33.0625,76.31126965253007,57.55053507728894,78.53273391191642
24,5.0,2.077922077922078,4.926829268292684,1.1406844106463878,2.809917355371901,2.5691699604743086,3.979057591623037,2.0720720720720722,1.8681318681318682,5.36697247706422,-1.16580310880829,1.36,3.55,8.379999999999999,8.735632183908047,6.96551724137931,10.0,0.5404446904855611,8.13680759903766,0.0,0.0,0.0,0.0,10.0,25.0,76.31126965253007,48.518430439952425,66.207637903757
